/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=1000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.997 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 165 |  1000스텝 | 배송 28/50 | 재적재  4 | 정지 0.05 교착최장   3 | step_limit
Ep 166 |  1000스텝 | 배송 21/50 | 재적재  1 | 정지 0.08 교착최장   2 | step_limit
Ep 167 |  1000스텝 | 배송 21/50 | 재적재  3 | 정지 0.06 교착최장   8 | step_limit
Ep 168 |  1000스텝 | 배송 20/50 | 재적재  3 | 정지 0.03 교착최장   3 | step_limit
Ep 169 |  1000스텝 | 배송 23/50 | 재적재  4 | 정지 0.11 교착최장   4 | step_limit
Ep 170 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.05 교착최장   6 | step_limit
Ep 171 |  1000스텝 | 배송 19/50 | 재적재  1 | 정지 0.07 교착최장   6 | step_limit
Ep 172 |  1000스텝 | 배송 25/50 | 재적재  4 | 정지 0.04 교착최장   2 | step_limit
Ep 173 |  1000스텝 | 배송 24/50 | 재적재  2 | 정지 0.13 교착최장   7 | step_limit
Ep 174 |  1000스텝 | 배송 26/50 | 재적재  2 | 정지 0.09 교착최장   5 | step_limit
Ep 175 |  1000스텝 | 배송 23/50 | 재적재  2 | 정지 0.09 교착최장   3 | step_limit
Ep 176 |  1000스텝 | 배송 20/50 | 재적재  3 | 정지 0.03 교착최장   2 | step_limit
Ep 177 |  1000스텝 | 배송 20/50 | 재적재  2 | 정지 0.08 교착최장  10 | step_limit
Ep 178 |  1000스텝 | 배송 25/50 | 재적재  4 | 정지 0.06 교착최장   7 | step_limit
Ep 179 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.08 교착최장   4 | step_limit
Ep 180 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.09 교착최장   7 | step_limit
Ep 181 |  1000스텝 | 배송 22/50 | 재적재  1 | 정지 0.09 교착최장   5 | step_limit
Ep 182 |  1000스텝 | 배송 23/50 | 재적재  4 | 정지 0.06 교착최장   7 | step_limit
Ep 183 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.04 교착최장   3 | step_limit
Ep 184 |  1000스텝 | 배송 20/50 | 재적재  2 | 정지 0.08 교착최장   2 | step_limit
